OBJECTID,NAME,COUNTY,OSP,TWNCODE,LAND,Shape__Area,Shape__Length
1,CUMBERLAND,PROVIDENCE,8,CU,Y,0.00795908766986031,0.416142517529262
2,WOONSOCKET,PROVIDENCE,39,WO,Y,0.00221987938061829,0.204697695446875
3,NORTH SMITHFIELD,PROVIDENCE,25,NS,Y,0.00699994382057412,0.403103351039798
4,BURRILLVILLE,PROVIDENCE,3,BU,Y,0.016024398564241,0.560429689061673
5,LINCOLN,PROVIDENCE,17,LI,Y,0.00531921994252116,0.371477550360488
6,SMITHFIELD,PROVIDENCE,31,SM,Y,0.00775854989024083,0.359970197719924
7,GLOCESTER,PROVIDENCE,13,GL,Y,0.015969169058053,0.579077219047329
8,CENTRAL FALLS,PROVIDENCE,4,CF,Y,0.000363362004236478,0.0781552987937009
9,PAWTUCKET,PROVIDENCE,26,PA,Y,0.00248757745930561,0.282145125627669
10,NORTH PROVIDENCE,PROVIDENCE,24,NP,Y,0.00162638082815647,0.206812007806022
11,JOHNSTON,PROVIDENCE,16,JO,Y,0.00682825964577205,0.363411252690542
12,PROVIDENCE,PROVIDENCE,28,PR,Y,0.00526284031161595,0.448436121469773
13,EAST PROVIDENCE,PROVIDENCE,10,EP,Y,0.00385221082842691,0.520775659276271
14,SCITUATE,PROVIDENCE,30,SC,Y,0.0153739078036779,0.500095009455555
15,FOSTER,PROVIDENCE,12,FO,Y,0.014579199067839,0.486123039823319
16,PROVIDENCE,PROVIDENCE,28,PR,Y,1.54342205860303e-06,0.00644647979505498
17,PROVIDENCE,PROVIDENCE,28,PR,Y,6.57448481433676e-07,0.00589815633681733
18,PROVIDENCE,PROVIDENCE,28,PR,Y,9.1605670604622e-08,0.00139310036687655
19,CRANSTON,PROVIDENCE,7,CR,Y,0.00811253499273334,0.558275099741784
20,EAST PROVIDENCE,PROVIDENCE,10,EP,Y,8.73342287377454e-10,0.000196286180748697
21,EAST PROVIDENCE,PROVIDENCE,10,EP,Y,1.8606669982546e-08,0.000715672469337461
22,EAST PROVIDENCE,PROVIDENCE,10,EP,Y,2.40152076003142e-09,0.000349729614283012
23,EAST PROVIDENCE,PROVIDENCE,10,EP,Y,3.92620495404117e-06,0.014501522239945
24,EAST PROVIDENCE,PROVIDENCE,10,EP,Y,6.28146221970383e-06,0.0132559532171781
25,EAST PROVIDENCE,PROVIDENCE,10,EP,Y,2.61283275904134e-07,0.00225676074911042
26,EAST PROVIDENCE,PROVIDENCE,10,EP,Y,4.64228151031421e-07,0.00367545359569733
27,BARRINGTON,BRISTOL,1,BA,Y,0.00066073186394533,0.234919887225695
28,BARRINGTON,BRISTOL,1,BA,Y,8.84379028320836e-06,0.0149683928572958
29,BARRINGTON,BRISTOL,1,BA,Y,0.00170728988450719,0.311149044401869
30,WARWICK,KENT,35,WK,Y,0.00927339996178489,0.934411526377457
31,BARRINGTON,BRISTOL,1,BA,Y,2.27421423915075e-08,0.00058168030722513
32,BARRINGTON,BRISTOL,1,BA,Y,4.87867964693578e-07,0.00365298715663421
33,BARRINGTON,BRISTOL,1,BA,Y,4.80673179481528e-06,0.00866080324588615
34,WARREN,BRISTOL,34,WN,Y,0.00173547572740063,0.410441489502165
35,BARRINGTON,BRISTOL,1,BA,Y,3.0157041237544e-06,0.00807513515008407
36,WARWICK,KENT,35,WK,Y,1.24040252558189e-06,0.0181637392227944
37,BARRINGTON,BRISTOL,1,BA,Y,1.26669033306825e-06,0.00596954424089433
38,WARWICK,KENT,35,WK,Y,2.80652557194117e-07,0.00260190784568356
39,WARWICK,KENT,35,WK,Y,6.22428615315584e-08,0.00106203404153252
40,WARWICK,KENT,35,WK,Y,3.11597432300914e-08,0.000803692683801885
41,BARRINGTON,BRISTOL,1,BA,Y,6.98576059221523e-08,0.000987753977284422
42,BARRINGTON,BRISTOL,1,BA,Y,7.72693056205753e-08,0.00109927797670387
43,WARREN,BRISTOL,34,WN,Y,9.6663779913797e-07,0.00377093058680513
44,WEST WARWICK,KENT,38,WW,Y,0.00226783770835937,0.258762320983138
45,COVENTRY,KENT,6,CO,Y,0.0174952669892718,0.646245318499303
46,BRISTOL,BRISTOL,2,BR,Y,0.00275360952468873,0.392848152092948
47,WARREN,BRISTOL,34,WN,Y,6.76573108648881e-09,0.000331347533465593
48,WARWICK,KENT,35,WK,Y,2.53749021794647e-08,0.000692098265521018
49,WARWICK,KENT,35,WK,Y,1.89641014003428e-08,0.00056727586173452
50,BRISTOL,BRISTOL,2,BR,Y,9.90255784927285e-07,0.00603500669621216
51,WARWICK,KENT,35,WK,Y,3.62563241651515e-08,0.000823968351304868
52,WARWICK,KENT,35,WK,Y,1.05392246041447e-08,0.000382470306758686
