County Name,Partially Covered Age Group 15-19,Partially Covered Age Group 20-24,Partially Covered Age Group 25-29,Partially Covered Age Group 30-34,Partially Covered Age Group 35-39,Partially Covered Age Group 40-44,Partially Covered Age Group 45-49,Partially Covered Age Group 50-54,Partially Covered Age Group 55-59,Partially Covered Age Group 60-64,Partially Covered Age Group 65-69,Partially Covered Age Group 70-74,Partially Covered Age Group 75-79,Partially Covered Age Group 80-84,Partially Covered Age Group 85-89,Partially Covered Age Group 90-94,Partially Covered Age Group 95-99,Partially Covered Age Group 100-104,Partially Covered Age Group 105-plus,Fully Covered Age Group 15-19,Fully Covered Age Group 20-24,Fully Covered Age Group 25-29,Fully Covered Age Group 30-34,Fully Covered Age Group 35-39,Fully Covered Age Group 40-44,Fully Covered Age Group 45-49,Fully Covered Age Group 50-54,Fully Covered Age Group 55-59,Fully Covered Age Group 60-64,Fully Covered Age Group 65-69,Fully Covered Age Group 70-74,Fully Covered Age Group 75-79,Fully Covered Age Group 80-84,Fully Covered Age Group 85-89,Fully Covered Age Group 94-94,Fully Covered Age Group 95-99,Fully Covered Age Group 100-104,Fully Covered Age Group 105-plus
MONROE,543,1108,953,1022,1108,1344,1558,2239,3158,3445,3145,2131,816,501,298,144,30,,,129,622,770,907,1123,1157,1419,1840,2541,2917,3537,3321,2760,1748,990,431,117,12,
OUT-OF-STATE,5169,12387,10374,11540,12278,12503,12867,16181,19682,22258,19499,15874,9572,6255,3665,1879,539,97,209,1574,6925,8245,9704,10469,10822,11174,13809,16017,18746,24074,20654,14765,10095,6047,3012,708,86,116
SULLIVAN,7,18,12,37,31,46,50,79,117,190,228,202,163,140,78,19,7,,,,29,24,24,28,29,38,73,120,173,209,215,160,100,67,27,6,,
GREENE,68,135,109,154,182,238,239,388,485,681,692,556,325,178,104,47,13,,,25,151,250,342,356,381,412,458,521,742,1061,869,614,347,213,118,32,,
BEDFORD,43,87,112,107,137,158,193,286,449,732,684,565,465,344,180,58,16,,,19,113,110,147,229,265,283,348,449,631,887,805,620,504,318,153,26,6,
VENANGO,113,169,137,136,181,203,217,258,349,474,298,241,143,117,50,35,8,,,42,217,221,290,384,370,437,580,723,976,1353,1170,770,523,329,167,45,5,
WARREN,83,137,129,186,237,232,232,351,568,707,851,710,553,372,191,105,30,,,40,145,203,210,279,268,306,413,526,683,882,717,469,332,237,117,36,,
CAMERON,,21,12,15,23,21,28,33,58,74,52,46,21,6,10,9,,,,6,11,21,14,36,37,34,54,123,150,216,233,131,115,60,32,6,,
BUCKS,2093,3888,3650,4427,5363,5727,6104,7847,10209,11182,9956,7729,4306,2834,1779,902,277,31,10,1186,3655,4169,5285,6591,7016,7621,9435,11540,13854,17631,15241,11408,7679,5093,2668,759,95,12
CRAWFORD,258,517,343,395,426,428,472,563,699,775,528,384,240,161,103,76,30,9,,140,453,534,670,848,937,1046,1367,1661,2266,2896,2721,2051,1397,772,419,123,13,
